3 17 12.822984
3 18 13.956595
3 19 15.230489
3 20 16.685748
3 21 18.377493
3 22 20.381403
3 23 22.803645
3 24 25.796846
3 25 29.585281
3 26 34.504701
3 27 41.060884
3 28 50.000000
3 29 62.331060
3 30 79.063042
3 31 100.000000

4 0 0.000000
4 1 0.912312
4 2 1.824274
4 3 2.735663
4 4 3.646550
4 5 4.557434
4 6 5.469373
4 7 6.384131
4 8 7.304284
4 9 8.233443
4 10 9.176325
4 11 10.139056
4 12 11.129314
4 13 12.156731
4 14 13.233175
4 15 14.373453
4 16 15.595796
4 17 16.923161
4 18 18.384322
4 19 20.016082
4 20 21.865867
4 21 23.995768
4 22 26.488136
4 23 29.453803
4 24 33.043377
4 25 37.462819
4 26 42.991882
4 27 50.000000
4 28 58.939116
4 29 70.261190
4 30 84.155357
4 31 100.000000

5 0 0.000000
5 1 1.140862
5 2 2.281031
5 3 3.419944
5 4 4.557434
5 5 5.693861
5 6 6.830312
5 7 7.968670
5 8 9.111890
5 9 10.264139
5 10 11.430927
5 11 12.619421
5 12 13.838607
5 13 15.099646
5 14 16.416344
5 15 17.805571
5 16 19.288104
5 17 20.889497
5 18 22.641482
5 19 24.583644
5 20 26.765899
5 21 29.251569
5 22 32.121626
5 23 35.480042
5 24 39.460081
5 25 44.230717
5 26 50.000000
5 27 57.008118
5 28 65.495299
5 29 75.619222
5 30 87.297174
5 31 100.000000

6 0 0.000000
6 1 1.370126
6 2 2.739023
6 3 4.105627
6 4 5.469373
6 5 6.830312
6 6 8.189337
6 7 9.548341
6 8 10.910477
6 9 12.280277
6 10 13.663853
6 11 15.069112
6 12 16.506047
6 13 17.986973
6 14 19.526996
6 15 21.144457
6 16 22.861554
6 17 24.705284
6 18 26.708447
6 19 28.911139
6 20 31.362526
6 21 34.123002
6 22 37.266784
6 23 40.884664
6 24 45.086187
6 25 50.000000
6 26 55.769283
6 27 62.537181
6 28 70.414719
6 29 79.423245
6 30 89.414100
6 31 100.000000

7 0 0.000000
7 1 1.600641
7 2 3.199279
7 3 4.794186
7 4 6.384131
7 5 7.968670
7 6 9.548341
7 7 11.124869
7 8 12.701389
7 9 14.282619
7 10 15.875041
7 11 17.487108
7 12 19.129462
7 13 20.815178
7 14 22.560222
7 15 24.383648
7 16 26.308357
7 17 28.361569
7 18 30.575837
7 19 32.989906
7 20 35.650043
7 21 38.611083
7 22 41.937841
7 23 45.705631
7 24 50.000000
7 25 54.913813
7 26 60.539919
7 27 66.956623
7 28 74.203154
7 29 82.244957
7 30 90.935970
7 31 100.000000

8 0 0.000000
8 1 1.833138
8 2 3.663279
8 3 5.487699
8 4 7.304284
8 5 9.111890
8 6 10.910477
8 7 12.701389
8 8 14.487557
8 9 16.273744
8 10 18.066574
8 11 19.874797
8 12 21.709452
8 13 23.584101
8 14 25.515011
8 15 27.521591
8 16 29.626596
8 17 31.856790
8 18 34.243353
8 19 36.822620
8 20 39.636585
8 21 42.733491
8 22 46.167821
8 23 50.000000
8 24 54.294369
8 25 59.115336
8 26 64.519958
8 27 70.546197
8 28 77.196355
8 29 84.417449
8 30 92.084803
8 31 100.000000

9 0 0.000000
9 1 2.068675
9 2 4.133012
9 3 6.189014
9 4 8.233443
9 5 10.264139
9 6 12.280277
